National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
,Muhammad Asghar,IND,Round Table (271),37,,,,,,,,
,Umbreen Younis Turk,IND,Dove (88),37,,,,,,,,
,Imtan Shafique,JIP,Scale (232),26,,,,,,,,
,Danyal Chaudhary,PML-N,Tiger (284),"83,331",,,,,,,,
,Mirza Khalid Mahmood,JIP,Scale (232),"8,955",,,,,,,,
,Seemabia Tahir,IND-PTI,Queen (211),"7,320",,,,,,,,
,Ch Rizwan Younis,TLP,Crane (71),"7,188",,,,,,,,
,Mukhtar Abbas,PPPP,Arrow (12),"3,724",,,,,,,,
,Sardar Anis Khan,IND,Bench (26),"3,532",,,,,,,,
,Chaudhary Muhammad Adnan,IND,Clock (60),"1,820",,,,,,,,
,Ch Mussadiq Mahmod Ghuman,IND,Lotus (168),"1,615",,,,,,,,
,Syed Rashid Hussain Shah,PFP,Ship (242),"1,400",,,,,,,,
,Nauman Aziz,IND,Bear (22),385,,,,,,,,
,Muhammad Ali Khan,IND,Peacock (194),385,,,,,,,,
,Muhammad Arshad Javaid Kasana,IND,Racket (214),342,,,,,,,,
,Muhammad Asghar,IND,Table (271),264,,,,,,,,
,Irfan Saeed Mirza,IND,Bowl (34),264,,,,,,,,
,Azmat Ali,PAL,Hockey (136),229,,,,,,,,
,Muhammad Zubair Kayani,IND,Door (87),229,,,,,,,,
,Zahid Aqeel,IND,Cricket Stumps (73),185,,,,,,,,
,Chaudhary Changez Khan,IND,Charpai (56),150,,,,,,,,
,Sardar Asif Khan,IND,Dove (88),142,,,,,,,,
,Zia Ul Haq,SQM,Gate (117),115,,,,,,,,
,Tasmiyah Khan,IND,Handbag (131),89,,,,,,,,
,Abdul Wajid Hussain,JUIF,Book (31),88,,,,,,,,
,Sheikh Rashid Shafiq,AML,Inkpot With Pen,69,,,,,,,,
,Zahid Parvez,PML-KQK,Gun (128),57,,,,,,,,
,Iftikhar Ahmed Chaudhary,IND,Medal (173),38,,,,,,,,
,Choudhary Imtiaz Ahmed,IND,Newspaper,15,,,,,,,,
,Tahir Iqbal,PML-N,Tiger (284),"115,974",,,,,,,,
,Ayaz Amir,IND-PTI,Saxophone (231),"102,537",,,,,,,,
,Zulfiqar Ali Khan,PPPP,Arrow (12),"74,300",,,,,,,,
,Raja Sohail Akhtar Satti,TLP,Crane (71),"45,238",,,,,,,,
,Iftikhar Ahmed,JIP,Scale (232),"8,963",,,,,,,,
,Muhammad Jahangir Malik,TTP,Revolver,"7,843",,,,,,,,
,Hafiz Abdul Qadeer,JUIF,Book (31),"5,489",,,,,,,,
,Muhammad Ayaz Chaudhary,IND,Peacock (194),"1,533",,,,,,,,
,Abdul Nisar,PMML,Chair (55),"1,343",,,,,,,,
,Shazia Abbas,IND,Queen (211),"1,150",,,,,,,,
,Muhammad Tufail,PT-INSANIAT,Scissors,868,,,,,,,,
,Umar Khan,ANP,Lantern (162),438,,,,,,,,
,Qalib Abbas Malik,MQM-P,Kite (159),369,,,,,,,,
,Muhammad Naveed Arif Awan,IND,Alphabet P,230,,,,,,,,
,Imran Qaiser Abbas,PTI-N,Batsman (20),15,,,,,,,,
,Musa Habib Raja,IND,Aeroplane (2),15,,,,,,,,
,Shaheen,IND,Parachute (192),13,,,,,,,,
,Saifur Rehman,IND,Hand Pump (130),4,,,,,,,,
,Haroon Irshad Janjua,IND,Battery (21),3,,,,,,,,
,Chaudhary Taimur Ali Khan,IND,Clock (60),1,,,,,,,,
,Chaudhary Naushad Ali Khan,IND,Hukkah (141),1,,,,,,,,
,Sardar Ghulam Abbas,PML-N,Tiger (284),"141,680",,,,,,,,
,Muhammad Roman Ahmed,IND,Clock (60),"129,716",,,,,,,,
,Muhammad Yaqub,TLP,Crane (71),"29,756",,,,,,,,
,Muhammad Tahir Malik,JIP,Scale (232),"14,452",,,,,,,,
,Muhammad Abu Bakar Siddique,PRHP,Iron (147),"8,147",,,,,,,,
,Hassan Safdar,IND,Radio (215),"6,096",,,,,,,,
,Muhammad Asghar,PMML,Chair (55),803,,,,,,,,
,Afzal Hayat,PNP,Railway Engine (216),250,,,,,,,,
,Asif Rizwan,IND,Tap (277),83,,,,,,,,
,Shahroze Khan,IND,Dove (88),18,,,,,,,,
,Nisar Ahmed,IND,Feather (102),18,,,,,,,,
,Muhammad Faez Malik Tamman,IND,Hukkah (141),11,,,,,,,,
,Altaf Hussain Qazi,IND,Table (271),4,,,,,,,,
,Zeeshan Mohsin,IND,Bowl (34),2,,,,,,,,
,Muhammad Aamir,IND,Bear (22),2,,,,,,,,
,Tanveer Hussain,IND,Aeroplane (2),1,,,,,,,,
,Khalida Parveen,IND,Kettle (153),1,,,,,,,,
,Muhmmad Shahbaz,IND,Peacock (194),-,,,,,,,,
,Muhammad Jahangir Ali Khan,IND,Tricycle (296),-,,,,,,,,
,Malik Asad Ali Khan,IND,Racket (214),-,,,,,,,,
,Sardar Mansoor Hayat Tamman,IND,Sickle (246),-,,,,,,,,
,Yar Muhammad Khan Yasri,IND,Cricket Stumps (73),-,,,,,,,,
,Bilal Azhar Kayani,PML-N,Tiger (284),"99,948",,,,,,,,
,Hassan Adeel,IND-PTI,Cricket Stumps (73),"90,474",,,,,,,,
,Zahid Akhtar,IND,Bowl (34),"24,273",,,,,,,,
,Kashifa Farukh,IND,Medal (173),"5,662",,,,,,,,
,Chaudhry Tasneem Nasir,PPPP,Arrow (12),"4,652",,,,,,,,
,Syed Zia Ullah Bukhari,JIP,Scale (232),"2,988",,,,,,,,
,Malik Awais Mehmood,IND,Peacock (194),536,,,,,,,,
,Zahid Aziz,IND,Charpai (56),504,,,,,,,,
,Muhammad Aziz,PAT,Motor Cycle (179),491,,,,,,,,
,Syed Anis Raza Naqvi,BPP,Pen (195),436,,,,,,,,
,Saeeda Zafar,PMML,Chair (55),397,,,,,,,,
,Faisal Fareed,IND,Dhol (81),388,,,,,,,,
,Fazal Ul Haq,IND,Clock (60),335,,,,,,,,
,Sheikh Qaisar Javed,MQM-P,Kite (159),282,,,,,,,,
,Anwar Ul Haq,IND,Lotus (168),138,,,,,,,,
,Mehboob Elahi,IND,Hukkah (141),123,,,,,,,,
,Zunehra Taj,IND,Queen (211),110,,,,,,,,
,Ashraf Mehmood,IND,Dolphin (85),99,,,,,,,,
,Chaudhary Farukh Altaf,PML-N,Tiger (284),"88,238",,,,,,,,
,Shaukat Iqbal Mirza,IND-PTI,Table (271),"84,215",,,,,,,,
,Imran Haider,TPP,Crown (75),"28,176",,,,,,,,
,Syed Amir Hamza Peerzada,PPPP,Arrow (12),"13,456",,,,,,,,
,Mushtaq Ahmed,IND,Aeroplane (2),"10,246",,,,,,,,
,Raja Matloob Mehdi,IND,Sheep (241),"4,474",,,,,,,,
,Qasim Mehmood,JIP,Scale (232),"2,639",,,,,,,,
,Muhammad Haroon Rafiq,PMML,Chair (55),"2,063",,,,,,,,
,Raja Talib Mehdi Khan,IND,Swallow (267),"1,418",,,,,,,,
,Abrar Hussain,IND,Bowl (34),707,,,,,,,,
,Faisal Fareed,IND,Dhol (81),339,,,,,,,,
,Skindar Hayat,IND,Hukkah (141),262,,,,,,,,
,Ghulam Musatafa Awan,IND,Dolphin (85),182,,,,,,,,
,Asfand Yar Ali,IND,Computer  (67),36,,,,,,,,
,Muhammad Imran Ahsan,IND,Sheep (241),884,,,,,,,,
,Muhammad Ghazanfar Iqbal,IND,Racket (214),45,,,,,,,,
,Muhammad Fayyaz,IND,Cricket Stumps (73),144,,,,,,,,
,Muhammad Latif,JIP,Scale (232),"2,042",,,,,,,,
,Makhdoom Muhammad Ehsan,AP-P,Sewing Machine,227,,,,,,,,
,Manazar Hussain,IND,Medal (173),273,,,,,,,,
,Musa Ellahi,PML,Tractor (292),"26,797",,,,,,,,
,Nasir Ahmed,IND,Clock (60),35,,,,,,,,
,Nouman Ashraf Chaudhary,IND,Roller Of Wood (223),232,,,,,,,,
,Naveed Akram,PAT,Motor Cycle (179),437,,,,,,,,
,Muhammad Ali Sajid Chatta,IND,Goat (123),82,,,,,,,,
,Muhammad Adil Fayyaz,IND,Printer (210),158,,,,,,,,
,Muhammad Rafiq,IND,Study Table with chair (263),698,,,,,,,,
,Amjad Hussin Shah,IND,Peacock (194),232,,,,,,,,
,Javed Iqbal,IND,Hukkah (141),245,,,,,,,,
,Chaudhary Abid Raza,PML-N,Tiger (284),"71,154",,,,,,,,
,Syed Shamim Raza,TLP,Crane (71),"24,035",,,,,,,,
,Syed Mubashar Hussain Shah,IND,Aeroplane (2),254,,,,,,,,
,Shamoona Abbas,IND,Queen (211),12,,,,,,,,
,Aamir Rafique,IND,Lotus (168),17,,,,,,,,
,Fahad Ilyas Choudry,IND,LapTop (163),354,,,,,,,,
,Kamran Khalid Butt,PRHP,Iron (147),"1,186",,,,,,,,
,Muhammad Jamil,IND,Bear (22),"1,759",,,,,,,,
,Waqar Munir,IND,Bottle (32),31,,,,,,,,
,Hussain Elahi,PML,Tractor (292),"88,069",,,,,,,,
,Sajid Yousaf,IND,Brinjal (37),"81,640",,,,,,,,
,Chaudhry Shoukat Ali,PPPP,Arrow (12),"1,347",,,,,,,,
,Asad Munawar,PMML,Chair (55),705,,,,,,,,
,Fakhar Zaman,IND,Goat (123),622,,,,,,,,
,Sahibzada Sultan Mahmood Qadri,IND,Clock (60),593,,,,,,,,
,Tanveer Ahmed,IND,Frying Pan,546,,,,,,,,
,Chaudhry Salik Hussain,PML,Tractor (292),"105,205",,,,,,,,
,Imran Zafar,IND,LapTop (163),"80,946",,,,,,,,
,Chaudhry Abdul Karim,TLP,Crane (71),"20,445",,,,,,,,
,Sajid Sharif,JIP,Scale (232),"9,557",,,,,,,,
,Anwar Hussain,PFP,Ship (242),"1,405",,,,,,,,
,Zeeshan Afzal Gondal,IND,Computer  (67),"1,174",,,,,,,,
,MuBee (24)n Arshad,PPPP,Arrow (12),"1,089",,,,,,,,
,Muhammad Afzal Gondal,IND,Hukkah (141),841,,,,,,,,
,Muhammad Yousaf,PAT,Motor Cycle (179),696,,,,,,,,
,Majid Rasheed,PT-EMAAN,Hud Hud (140),543,,,,,,,,
,Muhammad Sajjad,PMML,Chair (55),427,,,,,,,,
,Abdul Rashid,JUIF,Book (31),412,,,,,,,,
,Aleem Ullah Waraich,IND,Bear (22),328,,,,,,,,
,Usman Saeed,IND,Calculator (47),235,,,,,,,,
,Rehana Abbas,IND,Aeroplane (2),231,,,,,,,,
,Muhammad Arshad Khokhar,IND,Mic (174),144,,,,,,,,
,Zahra Ikhlaas,IND,Queen (211),140,,,,,,,,
,Qaisara Elahi,IND,Peacock (194),80,,,,,,,,
,Chaudhry Naseer Ahmed Abbas,PML-N,Tiger (284),"90,982",,,,,,,,
,Muhammad Hussain Wattoo,NP,Saw,"82,411",,,,,,,,
,Qamar Zaman Kaira,PPPP,Arrow (12),"51,282",,,,,,,,
,Haseeb Muhammad Khan,IND,Peacock (194),"22,197",,,,,,,,
,Chaudhry Abdul Sattar,JIP,Scale (232),"3,957",,,,,,,,
,Muhammad Ayub Butt,PAT,Motor Cycle (179),"1,566",,,,,,,,
,Umar Farooq,JUIF,Book (31),"1,566",,,,,,,,
,Abdul Wajid,PMML,Chair (55),"1,263",,,,,,,,
,Sharafat Hussain,IND,Chimney,816,,,,,,,,
,Muhammad Fahad,BPP,Pen (195),607,,,,,,,,
,Syed Nasir Abbas Shah,IND,Bowl (34),493,,,,,,,,
,Hamza Qamar Kaira,IND,LapTop (163),471,,,,,,,,
,Syed Fateh Haider,IND,Bench (26),303,,,,,,,,
,Zahid Hussain,IND,Racket (214),302,,,,,,,,
,Muhammad Imran,IND,Tower (291),167,,,,,,,,
,Muhammad Ali,IND,Parachute (192),108,,,,,,,,
,Ch Sajjad Ahmad,IND,Clock (60),99,,,,,,,,
,Jaffar Iqbal,IND,Charpai (56),17,,,,,,,,
,Mian Muhammad Khan,IND,Cow,4,,,,,,,,
,Mohammad Ahmed Chattha,IND-PTI,Bowl (34),"160,676",,,,,,,,
,Nasir Ahmed Cheema,PML-N,Tiger (284),"100,633",,,,,,,,
,Muhammad Akram,TLP,Crane (71),"18,968",,,,,,,,
,Nasir Mehmood,JIP,Scale (232),"6,958",,,,,,,,
,Ejaz Ahmed Samma,PPPP,Arrow (12),"4,920",,,,,,,,
,Ain Ahmed,IND,Clock (60),"3,967",,,,,,,,
,Shahbaz Ahmed Cheema,IND,Bear (22),"2,579",,,,,,,,
,Ansar Javed Tarar,PMML,Chair (55),"2,242",,,,,,,,
,Asjad Hussain,PAT,Motor Cycle (179),741,,,,,,,,
,Muhammad Shabir Akram,IND,Hand Pump (130),381,,,,,,,,
,Malik Abdul Rehman Sadiq,IND,Goat (123),287,,,,,,,,
,Mumtaz Ahmed Cheema,IND,Fire Engine,274,,,,,,,,
,Rana Arshad Iqbal,IND,Water Cooler (317),184,,,,,,,,
,Ahmad Hassan Chattha,IND,Fridge (113),155,,,,,,,,
,Tasadduq Hussain Cheema,IND,Peacock (194),137,,,,,,,,
,Chaudhary Adil Buksh Chattha,IND,Table (271),100,,,,,,,,
,Muhammad Fayaz Chattha,IND,Charpai (56),94,,,,,,,,
,Sahibzada Shahjahan,IND,Emergency Light,74,,,,,,,,
,Muntazir Mehdi,MWMP,Tent (282),72,,,,,,,,
,Chaudhry Khizzar Abbas,IND,Tricycle (296),59,,,,,,,,
,Chaudhry Ijaz Ahmed Cheema,IND,Photostat Machine (200),53,,,,,,,,
,Ikhlaq Haider,IND,Printer (210),46,,,,,,,,
,Mubassar Hussain Cheema,IND,LapTop (163),32,,,,,,,,
,Fiaz Hussain Cheema,IND,T Shirt (301),32,,,,,,,,
,Aniqa Mehdi,IND-PTI,Radio (215),"208,943",,,,,,,,
,Saira Tarar,PML-N,Tiger (284),"183,020",,,,,,,,
,Syed Muhammad Atta Ul Hasnain Ali,TLP,Crane (71),"23,516",,,,,,,,
,Muhammad Shoaib Bhatti,IND,Hukkah (141),"11,125",,,,,,,,
,Syed Waseem Ul Hassan Naqvi,PPPP,Arrow (12),"3,866",,,,,,,,
,Aniqa Anwar Cheema,IND,Harmonium,"3,237",,,,,,,,
,Adil Hussain,PMML,Chair (55),"1,244",,,,,,,,
,Shoukat Ali,IND,Hand Pump (130),"1,006",,,,,,,,
,Hassan Sher,IND,Wind Mill,904,,,,,,,,
,Liaqat Abbas,IND,Peacock (194),758,,,,,,,,
,Imran Abbas Bhatti,IND,Still Camera (261),481,,,,,,,,
,Faiz Ul Hassan,JUIPIN,Chitrali Cap,432,,,,,,,,
,Syed Zaheer Ul Hassan Bukhari,IND,Water Cooler (317),419,,,,,,,,
,Zulfqar Haider,IND,Mic (174),385,,,,,,,,
,Zahra JaBee (24)d,IND,Aeroplane (2),335,,,,,,,,
,Aslam Hayat,IND,Charpai (56),313,,,,,,,,
,Mazhar Hussain,MQM-P,Kite (159),219,,,,,,,,
,Asmat Ullah,PML-Z,Helicopter,202,,,,,,,,
,Rana Shafqat Javed,IND,Cricket Stumps (73),174,,,,,,,,
,Akhtar Hussain,IND,Bowl (34),163,,,,,,,,
,Syed Shoaib Shah Nawaz,IND,Clock (60),-,,,,,,,,
,Aoun Abbas,NP,Saw,-,,,,,,,,
,Samia Kousar,IND,LapTop (163),-,,,,,,,,
,Muzzaffar Hussain Tarar,IND,Goat (123),-,,,,,,,,
,Ihsan Ullah,IND,Sheep (241),-,,,,,,,,
,Haji Imtiaz Ahmed Choudhry,IND,Aeroplane (2),"166,093",,,,,,,,
,Mushahid Raza,PML-N,Tiger (284),"70,926",,,,,,,,
,Aasif Bashir,PPPP,Arrow (12),"20,390",,,,,,,,
,Muhammad Akram Tahir,TLP,Crane (71),"16,593",,,,,,,,
,Sajjad Aslam,IND,Peacock (194),"5,623",,,,,,,,
,Rashid Bashir,IND,Bear (22),"2,547",,,,,,,,
,Ch Asad Ayaz Gondal,IND,Kettle (153),"1,434",,,,,,,,
,Mumtaz Ahmed Tarar,IND,Hukkah (141),"1,064",,,,,,,,
,Hamza Asghar,IND,Water Cooler (317),972,,,,,,,,
,Muhammad Akbar,IND,Study Table with chair (263),731,,,,,,,,
,Muhammad Irfan,PMML,Chair (55),618,,,,,,,,
,Ch Akhtar Mehmood Sahi,IND,Still Camera (261),264,,,,,,,,
,Mukhtar Ahmed,IND,Racket (214),219,,,,,,,,
,Tariq Mehmood,IND,Bottle (32),201,,,,,,,,
,Irfan Siddique,MQM-P,Kite (159),196,,,,,,,,
,Ch Ghulam Hussain Bosal,IND,Clock (60),186,,,,,,,,
,Fraz Ahmed Tarar,IND,Hand Pump (130),181,,,,,,,,
,Arshad Mehmood,IND,Mic (174),131,,,,,,,,
,Afzaal Ahmed Gondal,IND,Cricket Stumps (73),125,,,,,,,,
,Muhammad Zulqarnain,IND,Medal (173),121,,,,,,,,
,Zaheer Mujahid,IND,Brick (35),99,,,,,,,,
,Nasab Shahzad,IND,Top (288),64,,,,,,,,
,Nasir Iqbal Bosal,PML-N,Tiger (284),"113,285",,,,,,,,
,Nazar Muhammad Gondal,IND,Bottle (32),"28,126",,,,,,,,
,Fakhar Umar Hayat,PPPP,Arrow (12),"6,627",,,,,,,,
,Faisal Shehzad,IND,Sheep (241),"2,747",,,,,,,,
,Saleh Muhammad,JIP,Scale (232),"2,740",,,,,,,,
,Nasar Ullah Khan,TLI,Cannon (51),985,,,,,,,,
,Sajid Ahmed Khan,IND,Brinjal (37),890,,,,,,,,
,Abdul Khaliq,PMML,Chair (55),765,,,,,,,,
,Munir Shah,ANP,Lantern (162),548,,,,,,,,
,Sheraz Ahmed Ranjha,IND,Teapot (279),425,,,,,,,,
,Gulriaz Ahmad,IND,Pressure Cooker (209),386,,,,,,,,
,Qaisara Ealhi,IND-PTI,Fridge (113),351,,,,,,,,
,Ch akhtar Abbas Bosal,IND,Medal (173),308,,,,,,,,
,Zobia Ejaz,IND,Calculator (47),138,,,,,,,,
,Ch Haroon Nawaz,IND,Clock (60),106,,,,,,,,
,Faisal Mukhtar Gondal,IND,Drum (91),90,,,,,,,,
,Chaudhry Armghan Subhani,PML-N,Tiger (284),"123,437",,,,,,,,
,Hafiz Hamid Raza,IND-PTI,Dove (88),"112,117",,,,,,,,
,Muhammad Shahid,TLP,Crane (71),"23,928",,,,,,,,
,Firdous Ashiq,IPP,Eagle (93),"10,655",,,,,,,,
,Chaudhry Muhammad Boota,IND,Sheep (241),"3,756",,,,,,,,
,Tahir Sultan Choudhry,IND,Alphabet S,"2,733",,,,,,,,
,Syed Ishtiaq Ul Hassan Gilani,PPPP,Arrow (12),"2,498",,,,,,,,
,Sohail Qaiser,PMML,Chair (55),"1,704",,,,,,,,
,Usman Javed Ghumman,IND,Hand Pump (130),736,,,,,,,,
,Omer Shehzad Ghuman,IND,Racket (214),673,,,,,,,,
,Umer Javed Ghuman,IND,Water Cooler (317),602,,,,,,,,
,Tahir Mehmood,IND,Peacock (194),371,,,,,,,,
,Muhammad Shehbaz,IND,Table (271),286,,,,,,,,
,Zahid Saleem Bajwa,IND,Cricket Stumps (73),258,,,,,,,,
,Mubshar Maqsood Awan,IND,Shower (244),250,,,,,,,,
,Muhammad Burhan,IND,Sickle (246),173,,,,,,,,
,Muhammad Yousaf,IND,Tap (277),162,,,,,,,,
,Muhammad Asif Raza,IND,Study Table with chair (263),117,,,,,,,,
,Hammad Naeem,IND,LapTop (163),112,,,,,,,,
,Muhammad Azeem,IND,T Shirt (301),79,,,,,,,,
,Mian Naeem Javed,IND,Teapot (279),66,,,,,,,,
,Naeem Nazir Malik,IND,Computer  (67),62,,,,,,,,
,Malik Tahir Akhtar,IND,Radio (215),31,,,,,,,,
,Khawaja Muhammad Asif,PML-N,Tiger (284),"118,566",,,,,,,,
,Rehana Imtiaz Dar,IND-PTI,Baby Cot (15),"100,272",,,,,,,,
,Muhammad Khalid Shakir,TLP,Crane (71),"11,510",,,,,,,,
,Tahir Mahmood Butt,JIP,Scale (232),"4,934",,,,,,,,
,Ruba Umar,IND,Roller Coaster,"3,186",,,,,,,,
,Muhammad Ehsaan,PMML,Chair (55),"2,280",,,,,,,,
,Khuwaja Awais Mushtaq,PPPP,Arrow (12),"1,607",,,,,,,,
,Mir Omer Farooq Meyer,IND,Cricket Stumps (73),608,,,,,,,,
,Fateh Ali Muawiya,PNP,Railway Engine (216),401,,,,,,,,
,Sohail Afzal Mir,IND,Pomegranate (208),341,,,,,,,,
,Mian Muhammad Raza,PAT,Motor Cycle (179),330,,,,,,,,
,Mirza Asif Baig,TJP,Sun Flower (266),180,,,,,,,,
,Shahid Mehmood,IND,Medal (173),119,,,,,,,,
,Ch Muhammad Sarwar,MQM-P,Kite (159),98,,,,,,,,
,Danial Basharat,IND,Pressure Cooker (209),86,,,,,,,,
,Mian Naeem Javed,IND,Wind Mill,86,,,,,,,,
,Ashfaq Ahmed,IND,Aeroplane (2),61,,,,,,,,
,Ali Zahid,PML-N,Tiger (284),"110,190",,,,,,,,
,Ch Amjad Ali Bajwa,IND-PTI,Clock (60),"103,792",,,,,,,,
,Shujaat ALi,TLP,Crane (71),"43,765",,,,,,,,
,Asif ALi Bajwa,IND,Hukkah (141),"7,757",,,,,,,,
,Muhammad Akram,IND,Peacock (194),"5,855",,,,,,,,
,Iftikhar Afzal,IND,Bear (22),"5,229",,,,,,,,
,Nabi Ahmad Virk,PMML,Chair (55),"4,888",,,,,,,,
,Nadeem Ahmad Awan,PPPP,Arrow (12),"2,441",,,,,,,,
,Ghazanfar Ali Bajwa,JIP,Scale (232),"1,668",,,,,,,,
,Saif Ali Khan,IND,Hand Pump (130),"1,211",,,,,,,,
,Ahsan Abbas,IND,Pressure Cooker (209),925,,,,,,,,
,Munawar Ahmed Gill,IND,Air Conditioner (3),870,,,,,,,,
,Sohail Babar,PAT,Motor Cycle (179),770,,,,,,,,
,Irfan Salamat Ali Bajwa,IND,Sofa (249),751,,,,,,,,
,Hassan Abbas,IND,Water Cooler (317),634,,,,,,,,
,Muhammad Asif Bajwa,IND,Letter Box,603,,,,,,,,
,Choudhry Khadim Hussain,IND,Emergency Light,337,,,,,,,,
,Amir Khalid,IND,Computer  (67),316,,,,,,,,
,Ghulam Abbas,IND,Round Table (271),271,,,,,,,,
,Haider Ali Gul,IND,Drum (91),207,,,,,,,,
,Haseeb Sattar,IND,Bench (26),200,,,,,,,,
,Muhammad Khalid Dogar,IND,Radio (215),179,,,,,,,,
,Mansoor Sarwar Khan,IND,Air Cooler (4),60,,,,,,,,
,Nosheen Iftikhar,PML-N,Tiger (284),"112,143",,,,,,,,
,Ali Asjad Malhi,IND-PTI,Well7,"104,067",,,,,,,,
,Tariq Maqsood,TLP,Crane (71),"20,287",,,,,,,,
,Rama Mahmood Ashraf,PPPP,Arrow (12),"3,147",,,,,,,,
,Zulfiqar Ahmed,JIP,Scale (232),"2,306",,,,,,,,
,Usman Ashraf,IND,Bear (22),"2,224",,,,,,,,
,Khalid Mahmood Cheema,PMML,Chair (55),"2,091",,,,,,,,
,Fizan Ashraf,IND,Badge (16),"1,978",,,,,,,,
,Waqas Qudoos,PNP,Railway Engine (216),"1,290",,,,,,,,
,Jamil Ashraf,IND,Hukkah (141),"1,028",,,,,,,,
,Iftikhar Ahmed,IND,Peacock (194),482,,,,,,,,
,Tasawar Abbass,PTI-N,Batsman (20),372,,,,,,,,
,Aman Ullah,IND,Door (87),353,,,,,,,,
,Omer Asjad,IND,Lotus (168),210,,,,,,,,
,Muhammad Amjad,IND,Still Camera (261),210,,,,,,,,
,Sami Ullah Malhi,IND,Slate (248),210,,,,,,,,
,Shemeen Ali,IND,Handbag (131),185,,,,,,,,
,Muhammad Hafeez,IND,Racket (214),163,,,,,,,,
,Muhammad Asif Bajwa,IND,Clock (60),163,,,,,,,,
,Ansar Waqas,IND,Tower (291),155,,,,,,,,
,Muhammad Asif,IND,Sickle (246),149,,,,,,,,
,Ghulam Mustafa,PAT,Motor Cycle (179),126,,,,,,,,
,Muhammad Rizwan,IND,Bee (24),112,,,,,,,,
,Abdul Waheed Meo,IND,Pressure Cooker (209),96,,,,,,,,
,Chaudhry Mumtaz Ali,IND,LapTop (163),91,,,,,,,,
,Muhammad Khalil Sandhu,IND,Aeroplane (2),65,,,,,,,,
,Muhammad Aslam Ghuman,IND-PTI,Brinjal (37),"130,504",,,,,,,,
,Rana Shamim Ahmed Khan,PML-N,Tiger (284),"95,988",,,,,,,,
,Sajjad Hussain Shah,TLP,Crane (71),"25,470",,,,,,,,
,Zafar Iqbal,PMML,Chair (55),"2,921",,,,,,,,
,Qamar Zaman Cheema,JIP,Scale (232),"2,836",,,,,,,,
,Choudhry Ijaz Ahmad Cheema,PPPP,Arrow (12),"2,796",,,,,,,,
,Fayyaz Iqbal Cheema,IND,Bear (22),"2,649",,,,,,,,
,Muhammad Saleem Akhtar,IND,Bed (23),"1,171",,,,,,,,
,Mahrukh Mirza,MQM-P,Kite (159),872,,,,,,,,
,Ch Muhammad Azeem Ghumman,IND,Air Conditioner (3),571,,,,,,,,
,Zulfiqar Aslam Cheema,IND,Audio Cassette (13),504,,,,,,,,
,Zubair Aslam,IND,Air Cooler (4),331,,,,,,,,
,Fakhir Nashat Ghumman,IND,Battery (21),322,,,,,,,,
,Adrees Ahmed Cheema,IND,Hukkah (141),178,,,,,,,,
,Chaudhary Bilal Hussain Gondal,IND,Aeroplane (2),170,,,,,,,,
,Bilal Hussain,IND,Aabshar,94,,,,,,,,
,Ammad Aslam,IND,Badge (16),93,,,,,,,,
,Sarfraz Ahmad,IND,Lotus (168),48,,,,,,,,
,Anwar Ul Haq Chaudhary,PML-N,Tiger (284),"99,625",,,,,,,,
,Tahir ALi Javeed,IND-PTI,Charpai (56),"75,626",,,,,,,,
,Daniyal Aziz,IND,Pressure Cooker (209),"50,984",,,,,,,,
,Muhammad Ahsan,TLP,Crane (71),"34,078",,,,,,,,
,Mian Muhammad Usman Rasheed,IND,Clock (60),"19,045",,,,,,,,
,Muhammad Talha Anees,IND,Cricket Stumps (73),"18,339",,,,,,,,
,Irfan Hameed,IND,Tawa (278),"3,391",,,,,,,,
,Abu Hafas Muhammad Ghayas UD Din,IND,Bee (24),"2,609",,,,,,,,
,Tariq Javed Manzoor,PPPP,Arrow (12),"2,530",,,,,,,,
,Ghulam Ali Shakar Toor,PMML,Chair (55),"1,994",,,,,,,,
,Hafiz Muhammad Muzaffar,JIP,Scale (232),"1,402",,,,,,,,
,Muhammad Irfan Abid,IND,Hand Pump (130),"1,189",,,,,,,,
,Hafiz Muhammad Akmal Sadiq,IND,Dove (88),752,,,,,,,,
,Akbar Khan Sherwani,IND,Bench (26),622,,,,,,,,
,Ahmad Shamas,IND,Pomegranate (208),543,,,,,,,,
,Rana Muhammad Younas,IND,Bowl (34),495,,,,,,,,
,Muhammad Asim Bashir,IND,Mic (174),394,,,,,,,,
,Syed Abrar Hussain,PAT,Motor Cycle (179),388,,,,,,,,
,Zahid Tauqir Azhar,IND,Aeroplane (2),380,,,,,,,,
,Ahsan Iqbal Chaudhary,PML-N,Tiger (284),"136,279",,,,,,,,
,Javaid Safdar Kahlon,IND-PTI,Brinjal (37),"109,309",,,,,,,,
,Syed Jehanzaib Bukhari,TLP,Crane (71),"33,651",,,,,,,,
,Muhammad Irfan Ashraf,PMML,Chair (55),"5,837",,,,,,,,
,Sakhawar Masih,PPPP,Arrow (12),"3,866",,,,,,,,
,Altaf Ahmad Khan,JIP,Scale (232),"2,192",,,,,,,,
,Rashid Mahmood Khan,IND,Tawa (278),"1,764",,,,,,,,
,Muhammad Nadeem Nisar Chaudhri,IND,Bear (22),"1,714",,,,,,,,
,Muhammad Akbar Tabani,JUIF,Book (31),"1,108",,,,,,,,
