Constituency,Candidates,Sign,Party,Votes
PS-17,Abdul Qayoum,Iron (147),PRP,515
PS-17,Gada Hussain,Kite (159),MQM-P,245
PS-17,Muhammad Khan,Racket (214),IND,204
PS-17,Ayaz Ali,Aeroplane (2),IND,186
PS-17,Ali Raza,Guitar (127),IND,166
PS-17,Aqil Khan,Rabab (212),IND,165
PS-17,Syed Noor Muhammad Shah,Water Melon (318),IND,149
PS-17,Ghuhram Khan,Peacock (194),IND,95
PS-18,Jam Mehtab Hussain Dahir,Bottle (32),IND,56285
PS-18,Shehryar Khan Shar,Arrow (12),PPP,54705
PS-18,Nasir Mahmood,Book (31),JUIF,9056
PS-18,Muhammad Malook,Crane (71),TLP,1162
PS-18,Mian Rafiq Ahmed,Fork (109),IND,1027
PS-18,Ali Akbar,Lotus (168),IND-PTI,884
PS-18,Sardar Khan Lund,Gas Cylinder (116),IND,625
PS-18,Amanullah,Rabab (212),IND,598
PS-18,Aftab Hussain,Tooth Brush (287),IND,369
PS-18,Irfan Ali,Kite (159),MQM-P,189
PS-18,Abdul Razzaque,Geyser (120),IND,125
PS-18,Nasirullah,Sea Saw (238),IND,105
PS-18,Yasir Mehmood,Screw Driver (237),IND,96
PS-18,Fida Hussain,Peacock (194),IND,81
PS-18,Sher Muhammad,Tent (282),MML,80
PS-18,Irshad Ahmed Qazi,Aeroplane (2),IND,73
PS-18,Nazeer Ahmed,Penguin (197),IND,64
PS-18,Ali Nawaz Khan Chachar,Computer (67),IND,48
PS-18,Ziauddin Khan Chachar,Table (271),IND,32
PS-18,Shahid Hussain,-,IND,30
PS-18,Abu Bakar Shah,-,IND,25
PS-18,Zafar Hussain Chandio,Iron (147),PRP,22
PS-18,Gul Muhammad,MIC (174),IND,11
PS-19,Sardar Kadir Akmal Laghari,Goat (123),IND,55683
PS-19,Abdul Bari Pitafi,Arrow (12),PPP,44186
PS-19,Mujeeb Ur Rehman,RABAB رباب,IND-PTI,2374
PS-19,Saif Raza,Crane (71),TLP,1502
PS-19,Tashkeel Ahmed Siddique,Scale (232),JIP,863
PS-19,Mian Rafiq Ahmed,,IND,452
PS-19,Hussain Ahmed,,IND,250
PS-19,Sagheer Ahmed Khan Lund,Book (31),JUIF,186
PS-19,Muneer Ahmed,Kite (159),MQM-P,170
PS-19,Abdul Basit,,IND,132
PS-19,Santosh Kumar,,IND,109
PS-19,Mehmood,,IND,98
PS-19,Salar Ahmed Khan,,IND,53
PS-19,Sikandar Ali Shah,,IND,43
PS-19,Mashooq Ali,,IND,26
PS-19,Zulfiqar Ali Shah,,IND,23
PS-20,Muhammad Bux Mahar,Arrow (12),PPP,87431
PS-20,Mohammad Ishaq Laghari,Book (31),JUIF,9401
PS-20,Sanwal Khan,Crane (71),TLP,3959
PS-20,Abdullah Gadani,,IND,1669
PS-20,Abdul Sattar Gadani,MATCH BOX ماچس,IND-PTI,1444
PS-20,Meer Khan,,IND,247
PS-21,Ali Nawaz Khan Mahar,Arrow (12),PPP,63758
PS-21,Ghulam Ali Abbas,Book (31),JUIF,29273
PS-21,Ghulam Raza,BATTERY بیٹری,IND-PTI,3535
PS-21,Mazhar Saeed,Crane (71),TLP,1437
PS-21,Siraj Ahmed,,IND,938
PS-21,Niaz Ahmed Soomro,,IND,573
PS-21,Haji Khan Maher,,IND,536
PS-21,Kabeer Akhtar,Kite (159),MQM-P,301
PS-21,Kamal Din,,IND,159
PS-21,Yaseem Tahira,,IND,77
PS-22,Ikramullah Khan,Arrow (12),PPP,41828
PS-22,Muhammad Mubeen,Book (31),JUIF,39778
PS-22,Naib Ali,Crane (71),TLP,1549
PS-22,Ghulam Ali Abbas,,IND,638
PS-22,Muhammad Saleem Malik,Kite (159),MQM-P,423
PS-22,Abdul Raqeeb,,IND,354
PS-22,Muhammad Jadal,GOAT بکری,IND-PTI,223
PS-22,Syed Tahir Hussain Shah,,IND,98
PS-22,Jamal Abdul Nasir,,IND,80
PS-22,Rafique Ahmed,Iron (147),PRP,75
PS-22,Ghulamullah Indhar,,IND,65
PS-22,Jam Ghulam Qadir Shah,,IND,56
PS-22,Ghulam Gohar Murtaza,,IND,51
PS-22,Jam Saifullah Khan,,IND,39
PS-23,Ghulam Raza Bhanbhro,Fish (104),PMA,
PS-23,Syed Awais Qadir Shah,Arrow (12),PPP,69266
PS-23,Inayatullah,Star (259),GDA,21137
PS-23,Arslan Ahmed Khokhar,,IND,1242
PS-23,Muhammad Moosa Buriro,Crane (71),TLP,654
PS-23,Abdul Wajid,Iron (147),PRP,615
PS-23,Ali Ahmed,Scale (232),JIP,435
PS-23,Syed Tahir Hussain Shah,,IND,429
PS-23,Mashooq Ali,Tent (282),MML,170
PS-23,Maryam Khan,Kite (159),MQM-P,158
PS-23,Shaista,,IND,112
PS-23,Muhammad Ameer Khan,,IND,106
PS-23,Syed Shakir Hussain Shah,,IND,84
PS-23,Naik Muhammad,Fist (105),PPP-SB,71
PS-23,Syed Zeerak Shah,,IND,52
PS-23,Khuda Bux Bhanbhro,,IND,50
PS-23,Zia ur Rehman,,IND,50
PS-23,Altaf Ahmed,,IND,47
PS-24,Syed Farukh Ahmed Shah,Arrow (12),PPP,41235
PS-24,Mubeen Ahmed,,IND,19622
PS-24,Safia,RACKET ریکٹ,IND-PTI,5730
PS-24,Muhammad Zubair Hafeez,Scale (232),JIP,2021
PS-24,Rasheed Ahmed Shah,Iron (147),PRP,1649
PS-24,Muhammad Shakeel,,IND,1028
PS-24,Muhammad qayyum,Crane (71),TLP,948
PS-24,Shauqat ali baloch,,IND,717
PS-24,Muhammad ahsan hafeez,,IND,600
PS-24,Illah Bux Bhatti,,IND,509
PS-24,Siraj Ahmed Khan,Kite (159),MQM-P,300
PS-24,Syed kamran ali,,IND,293
PS-24,Saba,,IND,257
PS-24,Gohar Ali Khoso,,IND,207
PS-24,Syed Zeerak Shah,,IND,207
PS-24,Muhammad Akbar,,IND,200
PS-24,Hyder Ali,,IND,185
PS-24,Siraj ahmed,,IND,180
PS-24,Shaista,,IND,159
PS-24,Majid Ali danwar,,IND,78
PS-24,Asif ali khoso,,IND,45
PS-24,Muhammad naeem,,IND,44
PS-24,Azhar Hasnain,,IND,38
PS-24,Abdul Aziz,,IND,37
PS-24,Zulqarnain Mushtaq shaikh,,IND,22
PS-24,Manzoor Ali,,IND,21
PS-24,Muhammad ayoob abbasi,,IND,19
PS-24,Safeeullah,,IND,19
PS-25,Nasir Hussain Shah,Arrow (12),PPP,51792
PS-25,Ameer Bux Alias Meer,Book (31),JUIF,25059
PS-25,Abdul Aziz,ROLLER OF WOOD بیلن,IND-PTI,7054
PS-25,Muhammad Zubair Hafeez,Scale (232),JIP,3252
PS-25,Syed Kumail Hyder Shah,,IND,2029
PS-25,Ghulam Hassan Chachar,Crane (71),TLP,1858
PS-25,Pervaiz Ali,,IND,1742
PS-25,Majid,,IND,976
PS-25,Abdul Ghaffar,,IND,891
PS-25,Mehboob Ali Sehto,,IND,559
PS-25,Qurban Ali Kalwar,Fist (105),PPP-SB,262
PS-25,Sikandar Ali Junejo,,IND,188
PS-25,Khalid Mehmood,Iron (147),PRP,166
PS-25,Pervaiz Ahmed,,IND,159
PS-25,Rab Dino,,IND,114
PS-25,Syed Ghazanfar Hussain,,IND,112
PS-25,Amjad Murad,,IND,71
PS-25,Mohammad Ali Chohan,,IND,65
PS-25,Anwar Ali Malik,,IND,41
PS-26,Awais Ahmed,Book (31),JUIF,
PS-26,Syed Qaim Ali Shah,Arrow (12),PPP,63686
PS-26,Imam Bux Phulpoto,Star (259),GDA,19041
PS-26,Noor Hussain Sakhani,RACKET ریکٹ,IND-PTI,3581
PS-26,Shahnaz Shaikh,,IND,2546
PS-26,Altaf Hussain Solangi,Iron (147),PRP,1787
PS-26,Sannaullah,Scale (232),JIP,868
PS-26,Syed Ghous Ali Shah,,IND,511
PS-26,Ghulam Shabbir Jatoi,,IND,499
PS-26,Ashraf Ali,,ITP,334
PS-26,Hamad Ullah Memon,,IND,171
PS-26,Bishar Ahmed Rahoojo,,IND,75
PS-26,Shahab Muslim,Kite (159),MQM-P,74
PS-26,Mazhar Ali Jatoi,,IND,60
PS-26,Shoukat Ali,,IND,53
PS-26,Babra Solangi,,IND,47
PS-26,Mirzan Katohar,,IND,47
PS-26,Riaz ul Rehman,,IND,46
PS-26,Syed Asad Ali Shah Jillani,,IND,38
PS-26,Irshad Ali,,IND,32
PS-26,Abdul Sattar,,IND,30
PS-26,Piyaro Khan Phulpoto,,IND,27
PS-26,Abdul Jabbar,,IND,18
PS-27,Halar wassan,Arrow (12),PPP,91131
PS-27,Muhammad Sharif Buriro,Book (31),JUIF,10734
PS-27,Waheed Ali Gopang,Fist (105),PPP-SB,2272
PS-27,Hidayatullah,Tent (282),MML,1010
PS-27,Taj Mohammad,Iron (147),PRP,590
PS-27,Syed Ghous Ali Shah,,IND,419
PS-27,Aisha Shar,Crane (71),TLP,324
PS-27,Abdul Qadeer,Scale (232),JIP,299
PS-27,Muhammad Nawaz,,IND,123
PS-27,Abdul Salam,,IND,78
PS-27,Nadir Ali,,IND,63
PS-28,Sajid Ali Banbhan,Arrow (12),PPP,59217
PS-28,Ismail Shah,Star (259),GDA,54839
PS-28,Allah Warayo Shar,Crane (71),TLP,597
PS-28,Hakim Ali,,IND,142
PS-28,Asif Ali,,IND,88
PS-28,Allah Bachayo Shar,GOAT بکری,IND-PTI,84
PS-28,Zahid Ali Banbhan,,IND,68
PS-28,Khadim Hussain Aradin,,IND,60
PS-28,Faqeer Sikandar Ali Shar,,IND,27
PS-28,Muhammad Haroon,Iron (147),PRP,26
PS-28,Jamil Ahmed Lund Baloch,,IND,22
PS-28,Muhammad Laiq,,IND,21
PS-28,Amir Ali,,IND,16
PS-28,Faiz Muhammad,,IND,16
PS-28,Imtiaz Ali,,IND,16
PS-28,Sameer Zahid,,IND,13
PS-28,Toufique Ahmed,,IND,12
PS-28,Abud Ali,Kite (159),MQM-P,10
PS-28,Syed Mashooque Muhiuddin Shah,,IND,10
PS-28,Qalab Ali,,IND,9
PS-28,Arbab Shahid,,IND,7
PS-28,Attaullah Khan,,IND,3
PS-29,Shiraz Shaukat Rajper,Arrow (12),PPP,69590
PS-29,Muhammad Rafique Banbhan,Star (259),GDA,45734
PS-29,Arslan Khan,,IND,1061
PS-29,Saadullah,Crane (71),TLP,854
PS-29,Shahzaib Rajper,,IND,521
PS-29,Asad Ullah Banbhan,,IND,224
PS-29,Abdul Karim Shar,,IND,115
PS-29,Mujeeb Ul Rehman,,IND,98
PS-29,Ameer Ali Rajpar,,IND,97
PS-29,Faiz Muhammad,,IND,45
PS-29,Aijaz Ahmed Khuhro,,IND,44
PS-29,Aijaz Ahmed,,IND,33
PS-29,Arbab Shahid,,IND,30
PS-29,Ali Murtaza Shah,,IND,27
PS-29,Muhammad Malook,,IND,24
PS-29,Akhtar Hussain,,IND,23
PS-29,Fahad Khan,,IND,19
PS-29,Faqir Bakhat Ali Hisbani,,IND,17
PS-29,Ahsan Ali,,IND,16
PS-29,Ali jan,,IND,7
PS-30,Naeem Ahmed Kharal,Arrow (12),PPP,57000
PS-30,Shaikh Khalid Hussain,Star (259),GDA,26913
PS-30,Syed Niaz Hussain Shah Jilani,,IND,2809
PS-30,Pir Ahmed Ali Shah,HUKKAH حقہ,IND-PTI,2468
PS-30,Waseem Raza,Crane (71),TLP,2069
PS-30,Sayed Ghulam Mustafa Naqvi,,ITP,927
PS-30,Syed Kazim Ali Shah,,IND,251
PS-30,Aijaz Ali,,KI,225
PS-30,Shafqat ALi Shah,,IND,180
PS-30,Ghulam Ali,,IND,161
PS-30,Asadullah Shaikh,,IND,140
PS-30,Faiz Muhammad,,IND,87
PS-30,Javed Sikandar,,IND,78
PS-30,Abdul Latif Shaikh,,IND,71
PS-30,Shah Hassan Kharal,,IND,60
PS-30,Zakir Hussain Solangi,Boat (30),KS,57
PS-30,Muhammad Usman Narejo,,IND,56
PS-30,Masood Khalid Shaikh,,IND,55
PS-30,Syed Mashooque Muhiuddin Shah,,IND,28
PS-30,Lal Bux Sial,,IND,21
PS-30,Syed Muharram Ali Shah,,IND,21
PS-31,Syed Muhammad Rashid Shah,Star (259),GDA,58091
PS-31,Muhammad Bachal Shah,Arrow (12),PPP,51769
PS-31,Gul Muhammad Shah,,IND,982
PS-31,Saeed Ahmed,,IND,693
PS-31,Syed Fahad Ali Shah Jillani,,IND,662
PS-31,Fayyaz Hussain Abbasi,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,500
PS-31,Muhammad Rafiq,Crane (71),TLP,402
PS-31,Murad Ali Talpur,,IND,400
PS-31,Pir Syed Ali Raza Shah Jillani,,IND,261
PS-31,Ghulam Abbas Ulro,Iron (147),PRP,237
PS-31,Sayed Arfat ALi Shah,,IND,122
PS-31,Bashir Ahmed Bhand,,IND,103
PS-31,Sayed Muhammad Shah,,IND,75
PS-31,Abdul Shakoor Narejo,,IND,72
PS-31,Abdul Raheem Mahar,,IND,24
PS-32,Syed Sarfraz Hussain Shah,Arrow (12),PPP,58761
PS-32,Syed Zohaib Ali Shah,Star (259),GDA,27413
PS-32,Sindhoo Ghanghro,,IND,4347
PS-32,Sayed Hamadullah Shah,,IND,2781
PS-32,Abdul Wahab Kalhoro,MOBILE CHARGER موبائل چارجر,IND-PTI,1378
PS-32,Bashir Ahmed Channa,Crane (71),TLP,1043
PS-32,Sayed Shahnawaz Shah Rizwi,,IND,864
PS-32,Muhammad Hashim,Scale (232),JIP,683
PS-32,Rahim Bux Khoso,Fist (105),PPP-SB,427
PS-32,Muhammad Yameen,,IND,168
PS-32,MIsmat Chutta Khaskheli,Book (31),JUIF,148
PS-32,Ghulam Hyder,,IND,139
PS-32,Abdul Qadoos,,IND,124
PS-32,Syed Ghullam Murtaza Shah,,IND,123
PS-32,Jhando Khan,,IND,119
PS-32,Muhammad Ameen,,IND,112
PS-32,Altaf Hussain Sahto,,IND,63
PS-32,Bilawal Khan,,IND,52
PS-32,Sallah Uddin,,IND,27
PS-33,Sayed Hassan Ali Shah,Arrow (12),PPP,60617
PS-33,Shakeel Ahmed Jalbani,Star (259),GDA,28175
PS-33,Gul Hassan,,IND,16434
PS-33,Riawan Ahmed,BRICK اینٹ,IND-PTI,2791
PS-33,Sahibdino,Crane (71),TLP,1516
PS-33,Sayed Amir Ali Shah,,IND,610
PS-33,Asadullah Shah,,IND,441
PS-33,Ghazala Hussain,,IND,241
PS-33,Salar Jalbani,,IND,201
PS-33,Bhaly Rakhio Lakho,,IND,196
PS-33,Sajjad Hussain,Kite (159),MQM-P,186
PS-33,Aijaz Ahmed,,IND,155
PS-33,Sayed Muhammad Ali Shah,,IND,148
PS-33,Javeed Ahmed,,IND,101
PS-33,Rashid Mahmood,,IND,87
PS-33,Imdad Ali,,IND,86
PS-33,Fayaz Hussain Lakho,,IND,82
PS-33,Naimatullah,Iron (147),PRP,82
PS-33,Masoor Khan,,IND,67
PS-33,Nisar Ahmed Channa,,IND,50
PS-33,Yasir Ali,,IND,31
PS-33,Abdul Sattar Rajper,,IND,25
PS-33,Muhammad Ubaid Sanwal Rajper,,IND,25
PS-33,Rafique Ahmed Banbhro,,IND,25
PS-33,Ameer Bux Rajper,,IND,17
PS-34,Mumtaz Ali Chandio,Arrow (12),PPP,52385
PS-34,Mr Shahnawaz Jatoi,Star (259),GDA,46442
PS-34,Sardar Ahmed,Crane (71),TLP,1574
PS-34,Muhammad Shabir Khanzada,Scale (232),JIP,1468
PS-34,Nasir Ali,Iron (147),PRP,1130
PS-34,Munawar Ali,,IND,860
PS-34,Muhammad Usman,Kite (159),MQM-P,795
PS-34,Masroor Ali,,IND,678
PS-34,Riaz Ahmed,CRICKET STUMPS کرکٹ وکٹ,IND-PTI,478
PS-34,Mr Sikandar Ali,,AT,377
PS-34,Abdul Sattar Rajper,,IND,195
PS-34,Mr Munir Ahmed Mubejo,,IND,192
PS-34,Bilal Khan Jatoi,,IND,90
PS-34,Faiz Muhammad,,IND,90
PS-34,Khalilullah,,IND,40
PS-34,Habib Mazahir,,IND,26
PS-34,Muhammad Ubaid Sanwal Rajper,,IND,24
PS-35,Zai ul Hassan,Arrow (12),PPP,79744
PS-35,Masroor Ahmed Khan Jatoi,Star (259),GDA,29529
PS-35,Akhtar Hussain,Crane (71),TLP,1339
PS-35,Muhammad Ramzan,RACKET ریکٹ,IND-PTI,753
PS-35,Masroor Ali Rajper,,IND,550
PS-35,Ghulam Akbar Solangi,,IND,461
PS-35,Qadir Bux,,IND,372
PS-35,Rafique Ahmed,,IND,230
PS-35,Sanaullah,Iron (147),PRP,170
PS-35,Ghullam Rasool Bhanger,,IND,145
PS-35,Abdul Rasheed,,IND,110
PS-35,Shaina,Scale (232),JIP,50
PS-35,Muhammad Owais,Kite (159),MQM-P,49
PS-35,Habib Mazahir,,IND,39
PS-35,Ibrahim,,IND,25
PS-35,Sadaat Ali Dahri,,IND,25
PS-35,Dost Ali Solangi,,IND,24
PS-35,Baz Muhammad Siyal,,IND,19
PS-35,Muhammad Khan,,IND,19
PS-35,Muhammad Anwar QaimKhani,,IND,16
PS-35,Humayoon Asghar,,IND,7
PS-36,Azra Fazal Pechuho,Arrow (12),PPP,75260
PS-36,Mir Bahawal Khan Rind,CHARPAI چارپائی,IND-PTI,16657
PS-36,Abdul Razzaque Shar,Book (31),JUIF,4411
PS-36,Irfan Ali,Crane (71),TLP,3128
PS-36,Abdul Hafeez,,IND,876
PS-36,Masood Ahmed,Tent (282),MML,579
PS-36,Aijaz Ali,,IND,257
PS-36,Azam Ali Qureshi,Kite (159),MQM-P,184
PS-36,Ammanullah Rustmani,,IND,138
PS-36,Ameer Bux Dahri,,IND,130
PS-36,Ghullam Mustafa,,IND,123
PS-36,Saleem Raza Jeelani,,IND,112
PS-36,Abdul Qadir Brohi,,IND,78
PS-37,javeed iqbal,Arrow (12),PPP,70383
PS-37,Inayat Ali Rind,CHARPAI چارپائی,IND-PTI,20492
PS-37,Syed Sajjad Hussain Shah Taqvi,Kite (159),MQM-P,9482
PS-37,MUhammad Bilal,,IND,3907
PS-37,Muhammad Arif,Crane (71),TLP,3715
PS-37,Zakir Hussain Jamali,,JUI,2087
PS-37,Mian Sajjad Ahmed,,IND,1036
PS-37,Masmaat Musrat Zehra,Boat (30),KS,724
PS-37,Noushad Ahmed,Fist (105),PPP-SB,309
PS-37,Asghar Ali,Tent (282),MML,303
PS-37,Sayed Ghulam Mohiuddin Shah,,IND,282
PS-37,Makhasan Raza,,IND,241
PS-37,Tariq Mehmood Arain,,IND,193
PS-37,Muhammad Saleem,,IND,179
PS-37,Muhammad Ibrahim,,IND,164
PS-37,Muhammad Adil,,IND,120
PS-37,Hafiz Muhammad Shah Mir Khan,,IND,99
PS-37,Khan Bahadur Bhatti,,IND,74
PS-37,Muhammad Imran,,IND,63
PS-37,Naeem Ul Afreen,,IND,37
PS-37,Aurangzeb Pirzada,,IND,36
PS-37,Muhammad Nadeem,,IND,36
PS-37,Munawar Manzoor Arain,,IND,29
PS-38,Ghulam Qadir Chandio,Arrow (12),PPP,66121
PS-38,Syed Zain Ul Abdin,Star (259),GDA,40839
PS-38,Arif Niaz Arain,,IND,3110
PS-38,Imran Qureshi,Crane (71),TLP,1169
PS-38,Ghulam Ali Chandio,,IND,1061
PS-38,Falak Sher Oad,,IND,849
PS-38,Syed Aqeel Iqbal,Scale (232),JIP,756
PS-38,Muhammad Nadeem,RACKET ریکٹ,IND-PTI,636
PS-38,Dil Sher,,IND,225
PS-38,Muhammad Shahbaz,Kite (159),MQM-P,184
PS-38,Ghulam Hussain Chandio,,IND,148
PS-38,Ali Asghar Rind,,IND,131
PS-38,Sikandar Hayat Rind,,IND,126
PS-38,Farooq Ahmed,,IND,67
PS-38,Liaquat Ali Khanzada,,IND,56
PS-38,Noor Ahmed Rind,,IND,49
PS-38,Muhammad Haroon,,IND,48
PS-38,Nisar Ahmad Parhyar,,IND,31
PS-38,Ghulam Rasool Khan Unar,,IND,27
PS-39,Bahadur Khan Dahri,Arrow (12),PPP,69876
PS-39,Arif Niaz Arain,Star (259),GDA,15015
PS-39,Abdul Latif,CHARPAI چارپائی,IND-PTI,2461
PS-39,Ali Hassan Khaskhali,,IND,1325
PS-39,Muhammad Khan Kubar,Crane (71),TLP,1221
PS-39,Muhammad Ismail Dahri,,IND,1153
PS-39,Muhammad Zaman Juno,Scale (232),JIP,552
PS-39,Maria,Kite (159),MQM-P,281
PS-39,Khursheed,Book (31),JUIF,211
PS-39,Mukhtiar Naz,Tiger (284),PML-N,176
PS-39,Jaam Tabraiz,,IND,115
PS-39,Abdul Waheed,,IND,108
PS-39,Fozia,,IND,79
PS-39,Syed Anwar Ali Shah,,IND,79
PS-39,Khan Muhammad Dahri,,IND,74
PS-39,Muhammad Qasim,Tent (282),MML,68
PS-39,Abdul Qadir Khiljee,,IND,66
PS-39,Ali Bux,,IND,36
PS-39,Bashir Ahmed Chandio,,IND,27
PS-39,Aijaz Ali Shah,,IND,18
PS-40,Ghulam Dastgir Rajar,Star (259),GDA,56345
PS-40,Naveed Dero,Arrow (12),PPP,52923
PS-40,MUSHTAQUE,,IND,3953
PS-40,Talat Mehmood,Scale (232),JIP,1315
PS-40,rashid hussain,Crane (71),TLP,658
PS-40,Muhammad Ali,,IND,539
PS-40,Munwar Ali Shah,,IND,184
PS-40,Rajesh kumar,,IND,145
PS-40,Faraz,,IND,126
PS-40,Shehnaz,Tent (282),MML,112
PS-40,Waseem Akhtar,Kite (159),MQM-P,96
PS-40,Abdul hakeem,,IND,90
PS-40,Abid farooq,,IND,85
PS-40,rafique ahmed,,IND,55
PS-40,Abdul Jabbar,Boat (30),KS,44
PS-41,Bhagwan das,Kite (159),MQM-P,
PS-41,Jan Muhammad,Scale (232),JIP,
PS-41,Kamal uddin,Crane (71),TLP,
PS-41,Muhammad Aslam,SIGN BOARD سائن بورڈ,IND-PTI,
PS-41,Muhammad Nouman,Iron (147),PRP,
PS-41,Qazi Shams Din,Star (259),GDA,63750
PS-41,Ali Hassan,Arrow (12),PPP,62118
PS-41,Muhammad Yousaf Khan,,IND,13
PS-42,Jam Shabbir Ali Khan,Arrow (12),PPP,58383
PS-42,Jam Nafees Ali Khan,Star (259),GDA,47999
PS-42,Jam najaf ali,,IND,1011
PS-42,Ali Raza,RACKET ریکٹ,IND-PTI,950
PS-42,Imtiaz Hussain,Crane (71),TLP,575
PS-42,Irfan Ali,,ITP,390
PS-42,Farhat yasmeen,Scale (232),JIP,250
PS-42,Jam Shahbaz ali,,IND,172
PS-42,Muhammad arif,Tent (282),MML,59
PS-42,Jameel ahmed,,IND,49
PS-42,Manzoor ali,,IND,37
PS-42,Muhammad shehzad,,IND,34
PS-42,Syed Qadir Ali,,IND,33
PS-42,Ali Muhammad Marri,,IND,31
PS-42,Khalid Hussain,Kite (159),MQM-P,19
PS-42,Muhammad aslam,,IND,17
PS-42,Riaz Ali,,IND,17
PS-42,Mumtaz ali,,IND,12
PS-42,Abdul Majid,,IND,11
PS-42,Mir Khan,,IND,10
PS-42,Jam Zeeshan ali,,IND,9
PS-42,Mir Jawad Afsar Talpur,,IND,6
PS-42,Muhammad hashim,,IND,5
PS-42,Noor muhammad,,IND,3
PS-43,Paras Dero,Arrow (12),PPP,67851
PS-43,Niaz Hussain,Star (259),GDA,23869
PS-43,Muhammad Ayoob,BOTTLE بوتل,IND-PTI,5534
PS-43,Mushtaque Ahmed Adil,Scale (232),JIP,3560
PS-43,Syed muhammad hussain shah,Crane (71),TLP,1938
PS-43,Muhammad Fayyaz,Tent (282),MML,319
PS-43,Muhammad Imran jagnu,Kite (159),MQM-P,221
PS-43,Nadeem Uddin,,IND,215
PS-43,Nisar Ahmed,,IND,129
PS-43,Faraz Dero,,IND,120
PS-43,sanwal dero,,IND,100
PS-43,Binyameen,,IND,66
PS-43,Awais Mari,,IND,30
PS-44,Shahid Thahim,Arrow (12),PPP,60385
PS-44,Muhamamd Bux,Star (259),GDA,49143
PS-44,Muhammad Kashif Ameen,PEACOCK مور,IND-PTI,4168
PS-44,Irshad Zafar bhukari,Scale (232),JIP,699
PS-44,Khalid hameed,Tent (282),MML,291
PS-44,Hussain Bux,,IND,289
PS-44,Akbar Ali,,IND,225
PS-44,Rano khan,,AT,217
PS-44,Shaista,Book (31),JUIF,204
PS-44,Muhammad sharif,Kite (159),MQM-P,141
PS-44,Zahid Hussain,,IND,108
PS-44,Abdul Rehman,,IND,67
PS-44,Abdul Raheem,,IND,63
PS-44,Muhammad hussain,,IND,55
PS-44,Shahid hussain buriro,,IND,55
PS-44,Jahangeer Alam,Tractor (292),PML,36
PS-44,Muhammad khan wassan,,IND,34
PS-44,Fateh Muhammad Shaikh,,IND,32
PS-44,Pehelwan,,IND,31
PS-44,Asif ali,,IND,29
PS-44,Khadim hussain,,IND,27
PS-44,Mumtaz Ali,,IND,21
PS-44,Naveed Anjum,,IND,21
PS-44,Ali Murtaza Rehman Thahim,,IND,16
