KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-68,Israil,Pakistan People Party Parliamentarians,Arrow (12),1432,,,,,,,,
PK-68,Baghi Jan Khan,Pakistan Muslim League (N),Tiger (284),1310,,,,,,,,
PK-68,Haneef Uz Zaman,Jamiat Ulama-E-Islam Pakistar,Book (31),12156,,,,,,,,
PK-68,Hayat Muhammad,Independent,Baby Cot (15),211,,,,,,,,
PK-68,Sajjad Khan,Independent,Phole Gobhi (199),36,,,,,,,,
PK-68,Sher Zameen,Independent,Bowl (34),278,,,,,,,,
PK-68,Abdul Ghafar Khan,Independent,Calculator (47),45,,,,,,,,
PK-68,Umar Said,Pakistan Markazi Muslim League,Chair (55),233,,,,,,,,
PK-68,Ferdos Khan,Jamat-e-Islami Pakistan,Scale (232),1646,,,,,,,,
PK-68,Muhammad Israr Son Of Subedar Khan,Independent - PTI,Racket (214),20690,,,,,,,,
PK-68,Muhammad Israr Son Of Gul Habib,Independent,Spoon (255),599,,,,,,,,
PK-68,Muhamamd Talha,Independent,Pomegranate (208),80,,,,,,,,
PK-68,Muhammad Adil Khan,Tehreek Labbaik Pakistan,Crane (71),240,,,,,,,,
PK-68,Hilal Rehman,Independent,Bed (23),178,,,,,,,,
PK-68,Hidayat Ullah,Independent,Water Cooler (317),11542,,,,,,,,
PK-69,Azam Afridi,Qaumi Watan Party,Chiragh (Lamp) (58),188,,,,,,,,
PK-69,Tahsin Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),2665,,,,,,,,
PK-69,Sana Ullah,Tehreek-e-Darveshan Pakistan,Waist Coat (314),83,,,,,,,,
PK-69,Junaid Afridi,Independent,Spoon (255),5,,,,,,,,
PK-69,Jehangir Khan,Independent,Suitcase (264),24,,,,,,,,
PK-69,Zain Ullah,Tehreek Labbaik Pakistan,Crane (71),533,,,,,,,,
PK-69,Sayed Muqtadir Shah,Jamaat-e-Islami Pakistan,Scale (232),1466,,,,,,,,
PK-69,Shakra Shinwari,Pakistan Tehreek-eInsaf Parliamentarian (PTIP),Turban (305),88,,,,,,,,
PK-69,Shah Hussain,Awami National Party,Lantern (162),612,,,,,,,,
PK-69,Shahid Hussain,Independent,Sheep (241),66,,,,,,,,
PK-69,Shahid Ali,Independent,Tooth Brush (287),10,,,,,,,,
PK-69,Shah Rehman,Pakistan Peoples Party Parliamentarians,Arrow (12),477,,,,,,,,
PK-69,Shafiq Afridi,Pakistan Muslim League (N),Tiger (284),10095,,,,,,,,
PK-69,Shermat Khan,Independent,Kettle (153),30,,,,,,,,
PK-69,Sahibzada Sayed Muhammad Umer Banoori,Independent,Pomegranate (208),18,,,,,,,,
PK-69,Abdul Raziq Shinwari,Independent,Laptop (163),29,,,,,,,,
PK-69,Adnan Khan SO Abdul Wahid,Independent,Cricket Stumps (73),15,,,,,,,,
PK-69,Adnan Khan SO Mustafa Kamal,Independent,Racket (214),7,,,,,,,,
PK-69,Ali Rehman,Independent,Charpai (56),4,,,,,,,,
PK-69,Muhammad Israr Khan,Independent,Slate (248),5,,,,,,,,
PK-69,Muhammad Ijaz,Independent,Dove (88),15,,,,,,,,
PK-69,Muhammad Adnan Qadri,Independent - PTI,Bowl (34),25596,,,,,,,,
PK-69,Muhammad Nisar,Independent,Guitar (127),46,,,,,,,,
PK-69,Muraad Hussain,Independent,Bee (24),5,,,,,,,,
PK-69,Muzamil Shah,Independent,Bear (22),224,,,,,,,,
PK-69,Nazar Ali,Mazloom Olsi Tehreek Pakistan,Pitcher (204),234,,,,,,,,
PK-69,Nawab Khan,Independent,Clock (60),91,,,,,,,,
PK-69,Wali Muhammad,Independent,Feather (102),10,,,,,,,,
PK-70,Ijaz Afridi,Mazloom Olsi Tehreek Pakistan,Pitcher (204),1171,,,,,,,,
PK-70,Iqtidar Ahmad Afridi,Independent,Swallow (267),8,,,,,,,,
PK-70,Bilawal Afridi,Pakistan Muslim League (N),Tiger (284),7401,,,,,,,,
PK-70,Jehangir Khan,Independent,Peacock (194),15,,,,,,,,
PK-70,Haji Tawab Sher,Independent,Suitcase (264),44,,,,,,,,
PK-70,Hameed Ullah Jan Afridi,Jamiat Ulama-e-Islam Pakistan,Book (31),6070,,,,,,,,
PK-70,Zahid Ullah,Independent,Charpai (56),37,,,,,,,,
PK-70,Zarghon Shah,Independent,Cricket Strumps (73),23,,,,,,,,
PK-70,Suliman Shah,Awami National Party,Lantern (162),293,,,,,,,,
PK-70,Sherbaz Jan Afridi,Independent,Dove (88),12,,,,,,,,
PK-70,Abid Ur Rehman,Independent,Table (271),21,,,,,,,,
PK-70,Abdullah,Pakistan Markazi Muslim League,Chair (55),454,,,,,,,,
PK-70,kashif Ullah,Tehreek Labbaik Pakistan,Crane (71),319,,,,,,,,
PK-70,Lal Zaida,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),89,,,,,,,,
PK-70,Muhammad Sohail Afridi,Independent - PTI,Clock (60),31649,,,,,,,,
PK-70,Muhammad Saddiq,Independent,Table Tennis Bat (273),38,,,,,,,,
PK-70,Muhammad Amir,Independent,Roller of Wood (223),14,,,,,,,,
PK-70,Muhammad Nabi,Independent,Racket (214),924,,,,,,,,
PK-70,Murad Khan Afridi,Independent,Teapot (279),472,,,,,,,,
PK-70,Momin Khan,Jamaat-e-Islami Pakistan,Scale (232),1059,,,,,,,,
PK-70,Nasir Khan,Independent,Wheel Barrow (324),11,,,,,,,,
PK-70,Nazeer Gul,Independent,Aeroplane (2),21,,,,,,,,
PK-70,Wahid Shah,Pakistan Peoples Party Parliamentarians,Arrow (12),1148,,,,,,,,
PK-70,Haroon Afridi,Independent,Match box (172),79,,,,,,,,
PK-71,Bazar Gul Afridi,Independent,Teapot (279),86,,,,,,,,
PK-71,Jehangir Khan,Rabita Jamiat Ulma-eIslam (RJUI),Ring (220,708,,,,,,,,
PK-71,Khan Wali,Jamaat-e-Islami Pakistan,Scale (232),7903,,,,,,,,
PK-71,Suhail Ahmad,Independent,Computer (67),53,,,,,,,,
PK-71,Shah jehan,Independent,Laptop (163),142,,,,,,,,
PK-71,Shams Ud Din,Jamiat Ulama-e-Islam Pakistan,Book (31),5354,,,,,,,,
PK-71,Sherin Khan,Independent,Key with Lock (156),14,,,,,,,,
PK-71,Abdur Rehman,Independent,Stethoscope (260),31,,,,,,,,
PK-71,Abdur Razaq,Independent,Dove (88),3172,,,,,,,,
PK-71,Abdul Ghani S/o Muhammad Khan,Independent - PTI,Transformer (294),15061,,,,,,,,
PK-71,Abdul Ghaib S/o Yar Din,Independent,Cricket Strumps (73),100,,,,,,,,
PK-71,Attaullah Khan,Pakistan Awami Inqelabi League,Trophy (298,1460,,,,,,,,
PK-71,Faqir Muhammad,Pakistan Muslim League (N),Tiger (284),119,,,,,,,,
PK-71,Gul Ghafoor,Independent,Table (271),607,,,,,,,,
PK-71,Gul Madar,Independent,Aeroplane (2),20,,,,,,,,
PK-71,Muhammad Amin,Independent,Calculator (47),76,,,,,,,,
PK-71,Muhammad Iqbal Afridi,Independent,Table Tennis Bat (273),140,,,,,,,,
PK-71,Muhammad Haleem,Independent,Medal (173),155,,,,,,,,
PK-71,Muhammad Shafiq,Independent,Charpai (56),5545,,,,,,,,
PK-71,Muhammad Saddiq,Awami National Party,Lantern (162),286,,,,,,,,
PK-71,Naseem Riaz,Independent,Queen (211),10,,,,,,,,
PK-71,Noor Wali,Independent,Wheel Barrow (324),54,,,,,,,,
PK-71,Wasi Ullah,Independent,Mic (174),11,,,,,,,,
PK-72,Arbab Waqas Khan,Independent,Wheel Barrow (324),993,,,,,,,,
PK-72,Iftikhar Ahmad,Jamat-e-Islami Pakistan,Scale (232),10076,,,,,,,,
PK-72,Ikram Ullah,Independent,Orange (188),232,,,,,,,,
PK-72,Imtiaz Muhammad Khan,Independent,Computer (67),106,,,,,,,,
PK-72,Sana Ullah,Independent,Cricket strumps (73),281,,,,,,,,
PK-72,Sajid Khan (RTD),Independent,Charpai (56),226,,,,,,,,
PK-72,Sikandar Mehmood Khan,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),845,,,,,,,,
PK-72,Syed Liaqat Hussain Shah,Pakistan Muslim League (Z),Helicopter (134),613,,,,,,,,
PK-72,Zaheer Uddin,Tehreek-e-Darveshan Pakistan,Waist Coat (314),1061,,,,,,,,
PK-72,Azmat Khan,Pakistan Muslim League (N),Tiger (284),1913,,,,,,,,
PK-72,Ghazan Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),8523,,,,,,,,
PK-72,Kiramat Ullah Khan,Pakistan peoples Party Parliamentarians,Arrow (12),18527,,,,,,,,
PK-72,Muhammad Nadir Khan,Independent,Aeroplane (2),838,,,,,,,,
PK-72,Mehmood Jan,Independent - PTI,Clock (60),14332,,,,,,,,
PK-73,Ajmal Khan,Independent,Aeroplane (2),33,,,,,,,,
PK-73,Arbab Muhammad Waseem Khan,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),21949,,,,,,,,
PK-73,Anwar Gul,Independent,Air cooler (04),65,,,,,,,,
PK-73,Bushra,Independent,Bowl (34),90,,,,,,,,
PK-73,Jehanzaib khan,Independent,Table (271),103,,,,,,,,
PK-73,Raza Muhammad Khan,Independent,Bench (26),28,,,,,,,,
PK-73,Saidan Badshah,Independent,Clock (60),246,,,,,,,,
PK-73,Sayed Sher Shah,Jamaat-e-Islami Pakistan,Scale (232),2712,,,,,,,,
PK-73,Abdul Haseeb,Jamiat Ulama-e-Islam Pakistan,Book (31),14752,,,,,,,,
PK-73,Ali Zaman,Independent - PTI,Peacock (194),5458,,,,,,,,
PK-73,Kafeel Ahmad,Independent,Wheel chair (325),38,,,,,,,,
PK-73,Muhammad Jameel Khan,Pakistan peoples Party Parliamentarians,Arrow (12),2964,,,,,,,,
PK-73,Muhammad Shafi,Independent,Transformer (294),34,,,,,,,,
PK-73,Mazhar Alam,Brabri Party Parkistan,Pen (195),65,,,,,,,,
PK-73,Nisbat Ullah,Awami National Party,Lantern (162),2063,,,,,,,,
PK-74,Arbab Afzal Akbar,Pakistan Muslim League (N),Tiger (284),5558,,,,,,,,
PK-74,Arbab Allah Yar Khan,Awami National Party,Lantern (162),3550,,,,,,,,
PK-74,Arbab Jahandad Kha,Independent - PTI,Clock (60),21817,,,,,,,,
PK-74,Arbab Khudadad Khan,Independent,Bench (26),850,,,,,,,,
PK-74,Arbab Mir Afzal Khan Daudzai,Tehreek Labbaik Pakistan,Crane (71),1314,,,,,,,,
PK-74,Ijaz Muhammad,Jamiat Ulama-e-Islam Pakistan,Book (31),45959,,,,,,,,
PK-74,Hamdullah Jan,Jamaat-e-Islami Pakistan,Scale (232),2482,,,,,,,,
PK-74,Gohar Ali,Independent,Air cooler (04),58,,,,,,,,
PK-74,Muhammad Akbar Khan,Independent,Bed (23),40,,,,,,,,
PK-74,Muhammar Sharif,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),827,,,,,,,,
PK-74,Malik Tamash Khan,Pakistan peoples Party Parliamentarians,Arrow (12),5508,,,,,,,,
PK-74,Malak lal Sher Khan,Independent,Peacock (194),5559,,,,,,,,
PK-74,Hidayat Ullah,Independent,Aeroplane (2),165,,,,,,,,
PK-75,Arbab Ghulam Farooq,Pakistan Muslim League-N,Tiger (284),931,,,,,,,,
PK-75,Arbab Muhammad Usman Khan,Awami National Party (ANP),Laltain (162),44564,,,,,,,,
PK-75,Ishtiaq Ahmad,Independent,Peacock (194),139,,,,,,,,
PK-75,Samreen Rasheed,Pakistan Markazi Muslim League,Chair (55),71,,,,,,,,
PK-75,Khalid Waqar,Independent,Aeroplane (2),1545,,,,,,,,
PK-75,Syed Muhammad Ishtiaq,Pakistan Tehreek-eInsaf Parliamentarian (PTIP),Turban (305),2247,,,,,,,,
PK-75,Syed Muzaffar Shah,Tehreek Labbaik Pakistan,Crane(71),2221,,,,,,,,
PK-75,Sabir Hussain Awan,Jamaat-e-Islami Pakistan,Scale (232),3283,,,,,,,,
PK-75,Amir Khan,Independent,Laptop (163),100,,,,,,,,
PK-75,Inayat Ullah,Independent,Duck (92),44,,,,,,,,
PK-75,Muhammad Asif,Independent,Parrot (193),44,,,,,,,,
PK-75,Muhammad Intikhab Khan,Pakistan Muslim League (Q),Tractor (292),185,,,,,,,,
PK-75,Muhammad Daud Khan Barki,Pakistan Peoples Party Parliamentarians,Arrow (12),3794,,,,,,,,
PK-75,Muhammad She ryar Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),2771,,,,,,,,
PK-75,Malik Shahab Hussain,Independent - PTI,Horse Shoe (138),26126,,,,,,,,
PK-75,Malik Kamran Than,Qaumi Watan Party,Chiragh (lamp) (58),412,,,,,,,,
Pk-76,Sobia Shahid,Pakistan Muslim League (N),Tiger (284),98,,,,,,,,
Pk-76,Jan Afzal (RTD),Independent,Newspaper (183),271,,,,,,,,
Pk-76,Khalid waqar,Independent,Aeroplane (2),144,,,,,,,,
Pk-76,Khushdil Khan Advocate,Awami National Party,Lantern (162),12986,,,,,,,,
Pk-76,Rooh ullah,Pakistan Peoples Party Parliamentarians,Arrow (12),2220,,,,,,,,
Pk-76,Salman Khan,Mazloom Olsi Tehreek Pakistan,Pitcher (204),1301,,,,,,,,
Pk-76,Sami ullah Khan,Independent - PTI,Charpai (56),18888,,,,,,,,
Pk-76,Somi,Pakistan Tehreek-e-Insaf Parliamentarian,Turban (305),32,,,,,,,,
Pk-76,Siyar Muhammad,Jamaat-e-Islami Pakistan,Scale (232),3258,,,,,,,,
Pk-76,Shaukat Ali,Independent,Tap (277),93,,,,,,,,
Pk-76,Fareed ullah Khan,Independent,Cricket Strumps (73),93,,,,,,,,
Pk-76,Muhammad Anwar,Independent,Laptop (163),266,,,,,,,,
Pk-76,Niaz Muhammad,Jamiat Ulama-e-Islam Pakistan,Book (31),7578,,,,,,,,
Pk-76,Wajid Islam,Tehreek Labbaik Pakistan,crane (71),1054,,,,,,,,
PK-77,Javaid Parvez,Independent,Fridge (113),1392,,,,,,,,
PK-77,Habeeb ullah,Independent,Peacock (194),272,,,,,,,,
PK-77,Dildar khan,Tehreek Labbaik Pakistan,crane (71),2090,,,,,,,,
PK-77,Sajid Raza (RTD),Pakistan Muslim League (N),Tiger (284),241,,,,,,,,
PK-77,Syed Ameen,Jamaat-e-Islami Pakistan,Scale (232),1820,,,,,,,,
PK-77,Sher Ali Afridi,Independent - PTI,Clock (60),20544,,,,,,,,
PK-77,Sifat Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),7615,,,,,,,,
PK-77,Salah uddin,Awami National Party,Lantern (162),5653,,,,,,,,
PK-77,Fazl e Haq,Pakistan Peoples Party Parliamentarians,Arrow (12),827,,,,,,,,
PK-77,Fazl Muhammad Afridi,Independent,Aeroplane (2),3227,,,,,,,,
PK-77,Gul Zeb,Independent,Lotus (168),82,,,,,,,,
PK-77,Malik Tayyeb Khan,Independent,Dove (88),13,,,,,,,,
PK-77,Naikaaf Ullah,Independent,Badge ( 1 6),174,,,,,,,,
PK-78,Ibrahim Khan,Independent,Air conditioner (03),20,,,,,,,,
PK-78,Izhar Ullah Khalil,Awami  National Party,Lantern (162),2956,,,,,,,,
PK-78,Amil Azam,Independent,Clock (60),691,,,,,,,,
PK-78,Jalal Ud Din,Independent,Charpai (56),36,,,,,,,,
PK-78,Khalid Khalil,Independent,Transformer (294),69,,,,,,,,
PK-78,Khursheed Alam,Independent,Peacock (194),62,,,,,,,,
PK-78,Syed Hayatullah Khan,Jamiat Ulama-e-Pakistan (JUP),Key (154),691,,,,,,,,
PK-78,Shafat ur Rehman,Pakistan Peoples Party Parliamentarians,Arrow (12),3418,,,,,,,,
PK-78,Zahir Khan,Pakistan Muslim League (N),Tiger (284),22559,,,,,,,,
PK-78,Zahir Shah,Jamiat Ulama-e-Islam pakistan,Book (31),7558,,,,,,,,
PK-78,Asim Khan,Independent,Racket (214),5061,,,,,,,,
PK-78,Amir Khan,Independent,Brick (35),94,,,,,,,,
PK-78,Fahim Ahmad,Pakistan Tehreek-e-insaf parliamentarian (PTIP),Turban (305),187,,,,,,,,
PK-78,Qaim Shah,Jamat-e-Islami Pakistan,Scale (232),2080,,,,,,,,
PK-78,Muhammad Asim Khan,Independent - PTI,Green Chilli (136),17125,,,,,,,,
PK-78,Muhammad Qaisar Khan,Tehreek Labbaik Pakistan,Crane (71),1083,,,,,,,,
PK-78,Muhammad Masjid,Independent,Bed (23),33,,,,,,,,
PK-78,Muhammad Nadeem,Independent,Aeroplane (2),140,,,,,,,,
PK-78,Wajid khan,Independent,Table (271),216,,,,,,,,
PK-79,Asif Khan,Independent,Peacock (194),6,,,,,,,,
PK-79,Anwar Iqbal khan,Independent,Parrot (193),13,,,,,,,,
PK-79,Taimor khan,Independent,Rabab (212),58,,,,,,,,
PK-79,Taimur Saleem khan,Independent - PTI,Traffic Signal (293),11495,,,,,,,,
PK-79,Jalal Khan,Pakistan muslim league (N),Tiger (284),16031,,,,,,,,
PK-79,Khalid Masood,Independent,Tower (29),3,,,,,,,,
PK-79,Khayal muhammad,Independent,Clock (60),43,,,,,,,,
PK-79,Dilroze khan,Pakistan Tehreek-e-insaf parliamentarian (PTIP),Turban (305),76,,,,,,,,
PK-79,Rahma Sahar,Tehreek-e-Jawanan Pakistan,Sun flower (26^),27,,,,,,,,
PK-79,Sajjad ALi shah bangash,Independent,Bed (23),2,,,,,,,,
PK-79,Sohail Wahab,Mazloom Olsi Tehreek Pakistan,Pitcher (204),20,,,,,,,,
PK-79,Shazia Aziz,Independent,Bee (24),89,,,,,,,,
PK-79,SHakir ullah,Independent,Calculator (47),49,,,,,,,,
PK-79,Abdul wahab,Independent,Aeroplane (2),141,,,,,,,,
PK-79,Attiq ur rehman,Jamat-e-Islami Pakistan,Scale (232),2210,,,,,,,,
PK-79,atta ul haq,Jamiat Ulama-e-islam Pakistan,Book (31),5171,,,,,,,,
PK-79,imran ullah,Independent,Cricket strumps (73),66,,,,,,,,
PK-79,farman elahi khan,Tehreek Labbaik Pakistan,Crane (71),350,,,,,,,,
PK-79,qaisar ullah,Independent,Stethoscope (260),9,,,,,,,,
PK-79,latif ali,Independent,Medal (173),1045,,,,,,,,
PK-79,muhammad ziad,Independent,Laptop (163),73,,,,,,,,
PK-79,muhammad siraj,Pakistan Markazi Muslim League,Chair (55),235,,,,,,,,
PK-79,Muhammad siddique,Awami National Party (ANP),Lantern (162),2262,,,,,,,,
PK-79,muhammad nawab khattak,Pakistan People Party Parliamentarians,Arrow (12),1134,,,,,,,,
PK-79,murtuza hussain,Independent,Mic (174),9,,,,,,,,
PK-79,Musa Kaleem Ullah,Tehreek-e-Darveshan Pakistan,Waist Coat (314),185,,,,,,,,
PK-80,Akhunzada Abbas Hazrat,Tehreek-e-Darveshan Pakistan,Waist Coat (314),185,,,,,,,,
PK-80,Arbab Zarak Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),23311,,,,,,,,
PK-80,Arbab Saif Ul Haider,Independent,Aeroplane (2),99,,,,,,,,
PK-80,Irshad Bangash,Pakistan Markazi Muslim League,Chair (55),388,,,,,,,,
PK-80,Iftikhar Ahmad,Independent,Table (271),74,,,,,,,,
PK-80,Ilyas Khan,Independent,Clock (60),59,,,,,,,,
PK-80,Aman Ullah,Jamiat Ulama-e-islam Pakistan,Book (31),5903,,,,,,,,
PK-80,Anwar Zaib,Independent,Computer (67),33,,,,,,,,
PK-80,Jalal Ud Din,Independent,Fork (109),69,,,,,,,,
PK-80,Hamid Ul HAq,Independent - PTI,Dove (88),10251,,,,,,,,
PK-80,Khalid Masood,Independent,Printer (210),60,,,,,,,,
PK-80,Syed Haider Shah,Pakistan Muslim League (N),Tiger (284),2577,,,,,,,,
PK-80,Fayaz Khan Khalil,Independent,Peacock (194),171,,,,,,,,
PK-80,Majid Khan Arbab,Jamaat-e-Islami Pakistan,Scale (232),1469,,,,,,,,
PK-80,Muhammad Ali Arbab,Independent,Traffic Signal (293),2279,,,,,,,,
PK-80,Manzoor Ilahi,Independent,Charpai (56),61,,,,,,,,
PK-80,Yaseen Khan,Awami National Party,Lantern (162),5621,,,,,,,,
PK-81,lbrahim Khan,Pakistan Rah-e-Haq party,lron (147),5509,,,,,,,,
PK-81,lhtesham Nasr Malik,Independent,Clock (60),120,,,,,,,,
PK-81,Arbab Muhammad Farooq Jan,Jamiat Ulama-E-Islam Pakistan,Book (31),4924,,,,,,,,
PK-81,Arsalan Khan,Independent,Sofa (249),300,,,,,,,,
PK-81,Arslan Khan Nazim,Awami National Party,Lantern (162),8177,,,,,,,,
PK-81,llyas Muhammad,Independent,Tricycle (296),6,,,,,,,,
PK-81,Taimoor Hassan,Independent,Electric Heater (94),327,,,,,,,,
PK-81,Saqib Nawaz Khan,Independent,Lotus ( 168),6,,,,,,,,
PK-81,Samina Gul,Tehreek Jawanan pakistan,Sun Flower (266),45,,,,,,,,
PK-81,Jehanzeb Khan,Independent,Charpai (56),8,,,,,,,,
PK-81,Khalid Bashir,Pakistan Markazi Muslim League,Chair P(55),234,,,,,,,,
PK-81,Zahid Khan,Independent,Computer (67),21,,,,,,,,
PK-81,Safeer Ullah,Independent,Pomegranate (20),40,,,,,,,,
PK-81,Syed Qasim Ati Shah,Independent - PTI,Traffic Signal (293),44310,,,,,,,,
PK-81,Shahid Hussain,Independent,Parrot (193),32,,,,,,,,
PK-81,Shabir Ahmad Khan,Independent,Letter Box (165),19,,,,,,,,
PK-81,Abdul Karrm Khan,Independent,Lunch Box (170),17,,,,,,,,
PK-81,Ghulam Yahya,Independent,Peacock (194),361,,,,,,,,
PK-81,Fakhr e Alam,Independent,shuftte cock (245),57,,,,,,,,
PK-81,Fakhar E Alam Zaman,Mazloom Olsi Tehreek Pakistan,Pitcher (204),287,,,,,,,,
PK-81,Farhan Azam,Independent,Water Cooler (37),34,,,,,,,,
PK-81,Qazi Muhmmad Asif,Independent,Wheel Chair (325),21,,,,,,,,
PK-81,Gohar Ayub,Independent,Medal (173),38,,,,,,,,
PK-81,Muhmmad lqbal Khan Mohmand,Independent,Dolphin (85),4,,,,,,,,
PK-81,Muhmmad Bilal,Independent,Aeroplane (2),40,,,,,,,,
PK-81,Habib Muhmmad qureshi,Independent,Goat (123),12,,,,,,,,
PK-81,Muhmmad Dawood Barki,Rabita Jamiat Ulma-eIslam (RJUI),Ring (220),9,,,,,,,,
PK-81,Muhammad Atif,Independent,Laptop (163),21,,,,,,,,
PK-81,Muhmmad Waqas Orakzai,Independent,"Alphabet ""A', (5)",8,,,,,,,,
PK-81,Muhammad yasir Khan,Independent,Hand Bag (131),28,,,,,,,,
PK-81,Muhammad younas,Independent,Radio (215),18,,,,,,,,
PK-81,Misbah ud din,Pakistan Peoples Party Parliamentarians,Arrow (12),2984,,,,,,,,
PK-81,Nazish Ali Awan,Independent,Match Box (172),116,,,,,,,,
PK-81,Wa]idullah Khan,Pa(istan Tehreek-e- Insaf Parliamentarian (pTlp),Turban (305),2303,,,,,,,,
PK-81,Waqas Buland,Pakistan Muslim League (N),Tiger (284),1203,,,,,,,,
PK-82,Asif,Independent,Table Tennis Bat (273),3857,,,,,,,,
PK-82,Afshan Afridi,Independent,Queen (211),9,,,,,,,,
PK-82,Amjid Ali,Independent,Clock (60),23,,,,,,,,
PK-82,Taimoor Zaib,Independent,Aeroplane (2),222,,,,,,,,
PK-82,Zeeshan Aslam,Independent,Wheel Barrow (324),12,,,,,,,,
PK-82,Zahid Nadeem,Independent,Pomegranate (208),25,,,,,,,,
PK-82,Zain Ullah,Pakistan markazi Muslim League,Chair (55),217,,,,,,,,
PK-82,Zia Ullah Afridi,Pakistan Peoples Party Parliamentarians,Arrow (12),3830,,,,,,,,
PK-82,Zafar Ullah,Independent,Bee (24),6,,,,,,,,
PK-82,Zahoor  Qadir,Independent,Door (87),147,,,,,,,,
PK-82,Adeel Ahmad,PTI (N),Batsman (20),35,,,,,,,,
PK-82,Irfan Hameed,Independent,Water Cooler (37),60,,,,,,,,
PK-82,Irfan Saleem,Independent,Lunch Box (170),23,,,,,,,,
PK-82,Kamran,Independent,Guitar (127),157,,,,,,,,
PK-82,Kamran Khan Bangash,Independent - PTI,Racket (214),14030,,,,,,,,
PK-82,Muhammad Zakir Shah,Independent,Medal (173),203,,,,,,,,
PK-82,Muhammad Saeed,Independent,Computer (67),241,,,,,,,,
PK-82,M Siddiq Ur Rahman Paracha,Jamiat Ulama-E-Islam Pakistan,Book (31),3941,,,,,,,,
PK-82,Muharnmad Tahir Zareen,Jamaat-e-Islami Pakistan,Scale (232),2551,,,,,,,,
PK-82,Muhammad Nadeem,Pakistan Muslim league (N),Tiger (284),3421,,,,,,,,
PK-82,Malik Zardad Khan,Independent,Letter Box (165),20,,,,,,,,
PK-82,Malik Tariq Awan,Independent,Cricket strumps (73),20334,,,,,,,,
PK-82,Mehran Bangash,Independent,Parachute (192),41,,,,,,,,
PK-82,Naveed Ullah Khan,Awami National party,Lantern (162),6251,,,,,,,,
PK-83,Ashraf Ali Khan,Independent,Door (87),21,,,,,,,,
PK-83,Awal Khan,Independent,Garland (115),22,,,,,,,,
PK-83,Samar Haroon Bilour,Awami National Party,Lantern (162),33500,,,,,,,,
PK-83,Hazrat Bilal,Pakistan Muslim League Noon,Tiger (284),2363,,,,,,,,
PK-83,Khalid Gul,Jumaat-eIslami,Scale (232),2531,,,,,,,,
PK-83,Daim Khan,Pakistan Markazi Muslim League,Chair (55),613,,,,,,,,
PK-83,Rashid Hussain,Independent,Air Conditioner (3),52,,,,,,,,
PK-83,Sajjad Khan,Mazllom Olsi Tehreek Pakistan,Pitcher (204),391,,,,,,,,
PK-83,Syed Zahir Ali Shah,Pakistan Peoples Party Parlimintarians,Arrow (12),11287,,,,,,,,
PK-83,Shumaila Tabasum,Independent,Peacock (194),249,,,,,,,,
PK-83,Shehzad Younis,Independent,Brick (35),64,,,,,,,,
PK-83,Alamzeb,Independent,Charpai (56),398,,,,,,,,
PK-83,Abdul Wadood,Independent,Suitcase (264),118,,,,,,,,
PK-83,Muhammad Saqqaf Yasir,Independent,Clock (60),98,,,,,,,,
PK-83,Muhammad Tariq Ambari,Independent,Aeroplane (2),103,,,,,,,,
PK-83,Muhammad Zahir Shah,Independent,Bowl (34),96,,,,,,,,
PK-83,Muhammad Umar Khan,Jamiat-e-Ulmae-Islam Pakistan (JUIP),Book (31),7891,,,,,,,,
PK-83,Muhammad Wahab Ahsan,Independent,Pomegranate (208),112,,,,,,,,
PK-83,Muhammad Younas,Rabta Jamiate-Ulama Islam,Ring (220),38,,,,,,,,
PK-83,Meena Khan,Independent - PTI,Wheel Barrow (324),38117,,,,,,,,
PK-83,Nasro Minallah Kan,Independent,Cricket Stumps (73),900,,,,,,,,
PK-84,Asif Khan,Independent,Pomegranate (208),173,,,,,,,,
PK-84,Arbab Akbar Nawaz Khan,Independent,"alphabet,S (10)",15,,,,,,,,
PK-84,Shahid Khan,Independent,Peacock (194),1069,,,,,,,,
PK-84,Shahab Ud Din,Independent,Teapot (279),149,,,,,,,,
PK-84,Sher Rehman,Pakistan Muslim League (N),Tiger (284),2357,,,,,,,,
PK-84,Abdul Jabber,Pakistan Tehreek-e final Parliamentarian (PTIP),Turban (305),653,,,,,,,,
PK-84,Umar Khitab,Pakistan Peoples Party Parliamentarians,Arrow (12),3785,,,,,,,,
PK-84,Ghulam Haider Khan,Independent,Clock (60),381,,,,,,,,
PK-84,Farhad Khan,Awami National Party,Lantern (162),8248,,,,,,,,
PK-84,Fazal Elahi,Independent - PTI,Badge (16),25850,,,,,,,,
PK-84,Kamran Elahi,Tehreek Labbaik Pakistan,Crane (71),1691,,,,,,,,
